work_year,job_category,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
2023,BI and Visualization,110200,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,166000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,73100,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,212000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,93300,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,212000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,93300,Senior,Full-time,In-person,United States,M
2023,Data Engineering,166000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,73100,Senior,Full-time,In-person,United States,M
2023,Data Engineering,167100,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,111400,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,133000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,58400,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,166000,Entry-level,Full-time,Remote,United States,M
2023,Data Science and Research,73100,Entry-level,Full-time,Remote,United States,M
2023,Data Analysis,170000,Executive,Full-time,In-person,United States,M
2023,Data Analysis,145000,Executive,Full-time,In-person,United States,M
2023,Data Science and Research,212000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,93300,Senior,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,170000,Senior,Full-time,Remote,United States,M
2023,Data Architecture and Modeling,135000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,145000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,115000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,139810,Senior,Full-time,In-person,United States,M
2023,Data Engineering,95325,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,278700,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,159300,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,226700,Senior,Full-time,Remote,Canada,M
2023,Machine Learning and AI,151100,Senior,Full-time,Remote,Canada,M
2023,Data Engineering,247300,Senior,Full-time,Remote,United States,M
2023,Data Engineering,139700,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,188000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,139000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,150000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,160000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,94000,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,127000,Mid-level,Full-time,Remote,United States,M
2023,Leadership and Management,65000,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning and AI,276000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,174000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,260000,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,136000,Senior,Full-time,In-person,United States,L
2023,Leadership and Management,250000,Executive,Full-time,Remote,United States,M
2023,Leadership and Management,210000,Executive,Full-time,Remote,United States,M
2023,Data Science and Research,188000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,139000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,238000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,176000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,204500,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,142200,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,212000,Executive,Full-time,In-person,United States,M
2023,Data Science and Research,190000,Executive,Full-time,In-person,United States,M
2023,Data Science and Research,261500,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,134500,Senior,Full-time,In-person,United States,L
2023,Data Architecture and Modeling,239000,Senior,Full-time,In-person,United States,L
2023,Data Architecture and Modeling,122900,Senior,Full-time,In-person,United States,L
2023,Leadership and Management,115000,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,95000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,158500,Senior,Full-time,Remote,Canada,M
2023,Data Science and Research,115000,Senior,Full-time,Remote,Canada,M
2023,Machine Learning and AI,331640,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,267720,Senior,Full-time,In-person,United States,M
2023,Data Engineering,180000,Senior,Full-time,In-person,United States,M
